No,AC_YEAR,ENT_NAME,T_GI,T_PAY_ETC,T_JESU,T_OVERTIME_PAY,T_SU,T_EVALUATION,T_SANG,T_PAY_SUM,T_STAFF,T_WYEAR_WMONTH,T_ONE_AVE_PAY,T_AVGPAY_M,T_AVGPAY_W
1,2020,경기교통공사,0,0,0,0,0,0,0,0,0,0년 0개월,0,0,0
2,2020,원주시시설관리공단,7366452,1515168,1222927,1492475,0,0,0,11597022,239,0년 6개월,48523,49401,30877
3,2020,김포도시공사,3838587,893292,664983,812147,779479,142055,0,7130543,378,0년 97개월,18864,20780,13544
4,2020,파주도시공사,6029711,1252557,1286724,916016,431005,538756,0,10454769,213,0년 120개월,49083,51712,39540
5,2020,영천시시설관리공단,158745,34403,28409,2971,0,0,0,224528,10,0년 6개월,22453,23878,16752
6,2020,과천도시공사,6718824,1483394,973690,774295,849846,622444,0,11422493,213,0년 102개월,53627,58061,43962
7,2020,울산광역시북구시설관리공단,1266242,240714,236755,258738,0,0,0,2002449,49,0년 13개월,40866,41609,37053
8,2020,포천도시공사,3202667,569826,563170,238722,216620,237746,0,5028751,111,0년 89개월,45304,47898,38607
9,2020,안양도시공사,7013788,1445120,1478219,1655561,660770,574585,0,12828043,264,0년 114개월,48591,49984,42909
10,2020,세종도시교통공사,12543477,631468,2249916,3097074,2079907,0,0,20601842,427,0년 26개월,48248,48190,41534
11,2020,사천시시설관리공단,2814646,114553,115595,409185,26125,55270,0,3535374,99,0년 19개월,35711,41657,28611
12,2020,경주시시설관리공단,991383,221237,319516,304928,36496,91312,0,1964872,53,0년 28개월,37073,41072,27967
13,2020,인천광역시연수구시설안전관리공단,4339946,664084,337529,747159,283045,286316,0,6658079,179,0년 25개월,37196,40031,32675
14,2020,서울교통공사,641727308,28917825,308786022,56320388,103190350,72922058,27129,1211891080,16822.849999999999,0년 211개월,72038,73679,58193
15,2020,서울에너지공사,9754001,806901,5354281,1142828,887763,1056860,0,19002634,263,0년 0개월,72253,77047,53852
16,2020,충주시시설관리공단,5015766,119696,458207,804217,650143,0,0,7048029,219,0년 31개월,32183,32269,27398
17,2020,세종특별자치시시설관리공단,4808795,912581,768403,1271290,429489,411401,0,8601959,175,0년 32개월,49154,50613,43518
18,2020,밀양시시설관리공단,2583436,282436,447644,318163,143617,162500,0,3937796,82,0년 39개월,48022,49366,42475
19,2020,인천관광공사,5270368,55877,196249,730370,789271,417037,0,7459172,103,0년 47개월,72419,85158,60216
20,2020,광명도시공사,6513527,768809,232423,720370,304074,279221,0,8818424,248,0년 31개월,35558,38909,31212
21,2020,아산시시설관리공단,4871171,1060021,790365,806936,907038,473244,0,8908775,211,0년 38개월,42222,45075,33834
22,2020,장수한우지방공사,570595,117014,134114,0,27196,54393,0,903312,18,0년 73개월,50184,51180,42215
23,2020,광주광역시광산구시설관리공단,5176846,980407,2286185,1738140,42465,53020,12000,10289063,201,0년 0개월,51189,52331,29377
24,2020,대구광역시달성군시설관리공단,4652807,992237,856575,582030,433239,424418,0,7941306,203,0년 53개월,39120,38559,32019
25,2020,김해시도시개발공사,8852485,1522529,1362931,1027231,614355,762079,0,14141610,282,0년 106개월,50148,51951,41975
26,2020,성남도시개발공사,23858710,4709978,5813732,5216556,3176826,2444958,0,45220760,885,0년 108개월,51097,52824,46987
27,2020,부여군시설관리공단,1827866,370090,160538,81432,254843,0,0,2694769,62,0년 63개월,43464,47832,37416
28,2020,울산광역시중구도시관리공단,796289,152185,82010,173776,39493,76675,0,1320428,29,0년 42개월,45532,43636,31569
29,2020,이천시시설관리공단,1482407,242767,149342,212703,173750,129405,0,2390374,58,0년 0개월,41213,39032,37649
